[84] : 287 => [20, 79] : 287 : 1.0 : 34.30662020905923
[20, 79] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[20, 84] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [84, 76] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [76, 79] : 287 : 1.0 : 34.30662020905923
[76, 79] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 76] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [84, 24] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [24, 79] : 287 : 1.0 : 34.30662020905923
[24, 79] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 24] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [82, 78] : 287 : 1.0 : 34.30662020905923
[82, 78] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [81, 82] : 287 : 1.0 : 34.30662020905923
[81, 82] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [82, 77] : 287 : 1.0 : 34.30662020905923
[82, 77] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [80, 82] : 287 : 1.0 : 34.30662020905923
[80, 82] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [82, 20] : 287 : 1.0 : 34.30662020905923
[82, 20] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [77, 78] : 287 : 1.0 : 34.30662020905923
[77, 78] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [81, 77] : 287 : 1.0 : 34.30662020905923
[81, 77] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [80, 77] : 287 : 1.0 : 34.30662020905923
[80, 77] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [82, 84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [82, 83] : 287 : 1.0 : 34.30662020905923
[82, 83] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[82, 84] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [84, 78] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [83, 78] : 287 : 1.0 : 34.30662020905923
[83, 78] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 78] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [81, 84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [81, 83] : 287 : 1.0 : 34.30662020905923
[81, 83] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[81, 84] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [84, 77] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [83, 77] : 287 : 1.0 : 34.30662020905923
[83, 77] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 77] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [80, 84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [80, 83] : 287 : 1.0 : 34.30662020905923
[80, 83] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[80, 84] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [20, 84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [83, 20] : 287 : 1.0 : 34.30662020905923
[83, 20] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[20, 84] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [84, 76] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [83, 76] : 287 : 1.0 : 34.30662020905923
[83, 76] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 76] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [84, 24] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [83, 24] : 287 : 1.0 : 34.30662020905923
[83, 24] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 24] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [82, 78] : 287 : 1.0 : 34.30662020905923
[82, 78] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [81, 82] : 287 : 1.0 : 34.30662020905923
[81, 82] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [82, 77] : 287 : 1.0 : 34.30662020905923
[82, 77] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [80, 82] : 287 : 1.0 : 34.30662020905923
[80, 82] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [82, 20] : 287 : 1.0 : 34.30662020905923
[82, 20] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [77, 78] : 287 : 1.0 : 34.30662020905923
[77, 78] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [81, 77] : 287 : 1.0 : 34.30662020905923
[81, 77] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [80, 77] : 287 : 1.0 : 34.30662020905923
[80, 77] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [82, 78] : 287 : 1.0 : 34.30662020905923
[82, 78] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [81, 82] : 287 : 1.0 : 34.30662020905923
[81, 82] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [82, 77] : 287 : 1.0 : 34.30662020905923
[82, 77] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [80, 82] : 287 : 1.0 : 34.30662020905923
[80, 82] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [82, 20] : 287 : 1.0 : 34.30662020905923
[82, 20] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [77, 78] : 287 : 1.0 : 34.30662020905923
[77, 78] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [81, 77] : 287 : 1.0 : 34.30662020905923
[81, 77] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [80, 77] : 287 : 1.0 : 34.30662020905923
[80, 77] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [83, 84, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [83, 84, 75] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [84, 75, 79] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [83, 75, 79] : 287 : 1.0 : 34.30662020905923
[75, 79] : 287 => [83, 84] : 287 : 1.0 : 34.30662020905923
[83, 75] : 287 => [84, 79] : 287 : 1.0 : 34.30662020905923
[84, 75] : 287 => [83, 79] : 287 : 1.0 : 34.30662020905923
[83, 79] : 287 => [84, 75] : 287 : 1.0 : 34.30662020905923
[84, 79] : 287 => [83, 75] : 287 : 1.0 : 34.30662020905923
[83, 84] : 287 => [75, 79] : 287 : 1.0 : 34.30662020905923
