[81, 82, 78] : 287 -> [80, 83, 24, 75, 76] : 0 : 1.0
[80, 82, 78] : 287 -> [81, 83, 24, 75, 76] : 0 : 1.0
[82, 76, 78] : 287 -> [80, 81, 83, 24, 75] : 0 : 1.0
[82, 24, 78] : 287 -> [80, 81, 83, 75, 76] : 0 : 1.0
[80, 81, 82] : 287 -> [83, 24, 75, 76, 78] : 0 : 1.0
[81, 82, 76] : 287 -> [80, 83, 24, 75, 78] : 0 : 1.0
[81, 82, 24] : 287 -> [80, 83, 75, 76, 78] : 0 : 1.0
[80, 82, 76] : 287 -> [81, 83, 24, 75, 78] : 0 : 1.0
[80, 82, 24] : 287 -> [81, 83, 75, 76, 78] : 0 : 1.0
[82, 24, 76] : 288 -> [80, 81, 83, 75, 78] : 0 : 0.9965277777777778
[80, 81, 78] : 288 -> [82, 83, 24, 75, 76] : 0 : 0.9965277777777778
[81, 76, 78] : 288 -> [80, 82, 83, 24, 75] : 0 : 0.9965277777777778
[81, 24, 78] : 288 -> [80, 82, 83, 75, 76] : 0 : 0.9965277777777778
[80, 76, 78] : 288 -> [81, 82, 83, 24, 75] : 0 : 0.9965277777777778
[80, 24, 78] : 288 -> [81, 82, 83, 75, 76] : 0 : 0.9965277777777778
[24, 76, 78] : 288 -> [80, 81, 82, 83, 75] : 0 : 0.9965277777777778
[80, 81, 76] : 290 -> [82, 83, 24, 75, 78] : 0 : 0.9896551724137931
[80, 81, 24] : 290 -> [82, 83, 75, 76, 78] : 0 : 0.9896551724137931
[81, 24, 76] : 293 -> [80, 82, 83, 75, 78] : 0 : 0.9795221843003413
[80, 24, 76] : 291 -> [81, 82, 83, 75, 78] : 0 : 0.9862542955326461
[82, 83, 75, 78] : 287 -> [80, 81, 24, 76] : 0 : 1.0
[81, 82, 83, 75] : 287 -> [80, 24, 76, 78] : 0 : 1.0
[80, 82, 83, 75] : 287 -> [81, 24, 76, 78] : 0 : 1.0
[82, 83, 75, 76] : 287 -> [80, 81, 24, 78] : 0 : 1.0
[82, 83, 24, 75] : 287 -> [80, 81, 76, 78] : 0 : 1.0
[81, 83, 75, 78] : 287 -> [80, 82, 24, 76] : 0 : 1.0
[80, 83, 75, 78] : 287 -> [81, 82, 24, 76] : 0 : 1.0
[83, 75, 76, 78] : 287 -> [80, 81, 82, 24] : 0 : 1.0
[83, 24, 75, 78] : 287 -> [80, 81, 82, 76] : 0 : 1.0
[80, 81, 83, 75] : 287 -> [82, 24, 76, 78] : 0 : 1.0
[81, 83, 75, 76] : 287 -> [80, 82, 24, 78] : 0 : 1.0
[81, 83, 24, 75] : 287 -> [80, 82, 76, 78] : 0 : 1.0
[80, 83, 75, 76] : 287 -> [81, 82, 24, 78] : 0 : 1.0
[80, 83, 24, 75] : 287 -> [81, 82, 76, 78] : 0 : 1.0
[83, 24, 75, 76] : 287 -> [80, 81, 82, 78] : 0 : 1.0
[81, 82, 75, 78] : 287 -> [80, 83, 24, 76] : 0 : 1.0
[80, 82, 75, 78] : 287 -> [81, 83, 24, 76] : 0 : 1.0
[82, 75, 76, 78] : 287 -> [80, 81, 83, 24] : 0 : 1.0
[82, 24, 75, 78] : 287 -> [80, 81, 83, 76] : 0 : 1.0
[80, 81, 82, 75] : 287 -> [83, 24, 76, 78] : 0 : 1.0
[81, 82, 75, 76] : 287 -> [80, 83, 24, 78] : 0 : 1.0
[81, 82, 24, 75] : 287 -> [80, 83, 76, 78] : 0 : 1.0
[80, 82, 75, 76] : 287 -> [81, 83, 24, 78] : 0 : 1.0
[80, 82, 24, 75] : 287 -> [81, 83, 76, 78] : 0 : 1.0
[82, 24, 75, 76] : 287 -> [80, 81, 83, 78] : 0 : 1.0
[80, 81, 75, 78] : 287 -> [82, 83, 24, 76] : 0 : 1.0
[81, 75, 76, 78] : 287 -> [80, 82, 83, 24] : 0 : 1.0
[81, 24, 75, 78] : 287 -> [80, 82, 83, 76] : 0 : 1.0
